n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.030e+04	1.872e-01	1.148e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.000e-01	8.000e-01
1.040e+04	1.872e-01	1.148e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.577e-01	3.000e-01	8.000e-01
1.050e+04	1.872e-01	1.148e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	8.000e-01
1.060e+04	1.872e-01	1.148e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.501e-01	3.000e-01	8.000e-01
1.070e+04	1.872e-01	1.148e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.500e-01	3.000e-01	8.000e-01
1.080e+04	1.872e-01	1.083e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.500e-01	3.000e-01	7.999e-01
1.090e+04	1.872e-01	1.083e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.500e-01	3.000e-01	7.999e-01
1.100e+04	1.872e-01	1.083e-01	2.068e-01	6.006e-01	3.001e-01	8.709e-01	5.500e-01	3.000e-01	7.999e-01
1.110e+04	1.872e-01	1.083e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.500e-01	2.895e-01	7.999e-01
1.120e+04	1.872e-01	1.083e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.500e-01	2.895e-01	7.999e-01
1.130e+04	1.872e-01	1.083e-01	2.068e-01	5.911e-01	2.984e-01	8.641e-01	5.577e-01	3.001e-01	8.000e-01
