n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
7.400e+03	1.449e-01	5.234e-02	2.396e-01	3.977e-01	1.129e-01	5.521e-01	5.000e-01	1.031e-09	1.000e+00
7.500e+03	1.611e-01	7.380e-02	2.473e-01	3.650e-01	1.092e-01	5.178e-01	5.000e-01	1.031e-09	1.000e+00
7.600e+03	1.559e-01	4.747e-02	2.767e-01	3.560e-01	1.092e-01	5.139e-01	4.219e-01	0.000e+00	1.000e+00
7.700e+03	1.460e-01	7.699e-02	2.625e-01	3.773e-01	1.166e-01	5.256e-01	4.993e-01	0.000e+00	1.000e+00
7.800e+03	1.630e-01	5.440e-02	2.825e-01	4.292e-01	1.161e-01	5.280e-01	4.910e-01	3.974e-07	1.000e+00
7.900e+03	1.431e-01	5.421e-02	2.862e-01	3.826e-01	1.957e-01	5.043e-01	4.910e-01	3.497e-15	1.000e+00
8.000e+03	1.978e-01	7.689e-02	2.653e-01	4.439e-01	2.335e-01	5.124e-01	5.000e-01	3.497e-15	1.000e+00
8.100e+03	1.526e-01	4.050e-02	2.875e-01	4.780e-01	2.175e-01	5.331e-01	4.993e-01	1.031e-09	1.000e+00
8.200e+03	1.486e-01	3.842e-02	2.948e-01	4.307e-01	1.307e-01	5.146e-01	5.000e-01	1.031e-09	1.000e+00
8.300e+03	1.649e-01	4.890e-02	2.883e-01	4.103e-01	2.156e-01	5.178e-01	5.000e-01	1.413e-07	1.000e+00
8.400e+03	1.377e-01	5.146e-02	2.569e-01	4.275e-01	2.280e-01	5.326e-01	5.213e-01	4.574e-07	1.000e+00
8.500e+03	1.516e-01	4.720e-02	2.900e-01	4.329e-01	2.304e-01	5.271e-01	5.000e-01	1.031e-09	1.000e+00
8.600e+03	1.629e-01	5.020e-02	2.721e-01	4.371e-01	1.092e-01	5.177e-01	5.000e-01	3.497e-15	1.000e+00
8.700e+03	1.518e-01	7.466e-02	2.803e-01	3.378e-01	1.041e-01	5.113e-01	7.310e-01	1.031e-09	1.000e+00
8.800e+03	1.793e-01	6.991e-02	2.929e-01	3.360e-01	1.441e-01	5.164e-01	5.000e-01	2.299e-09	1.000e+00
8.900e+03	1.467e-01	4.820e-02	2.609e-01	2.854e-01	1.092e-01	5.398e-01	5.000e-01	6.600e-09	1.000e+00
9.000e+03	1.529e-01	5.199e-02	2.440e-01	3.564e-01	1.469e-01	5.193e-01	5.000e-01	4.761e-05	1.000e+00
9.100e+03	1.746e-01	5.011e-02	2.895e-01	2.843e-01	1.092e-01	5.110e-01	5.000e-01	1.031e-09	1.000e+00
9.200e+03	1.565e-01	5.969e-02	2.533e-01	3.501e-01	1.445e-01	5.155e-01	5.000e-01	1.494e-07	1.000e+00
9.300e+03	1.679e-01	7.489e-02	2.756e-01	3.388e-01	1.455e-01	5.106e-01	4.998e-01	6.777e-08	1.000e+00
9.400e+03	1.516e-01	7.741e-02	2.765e-01	2.961e-01	1.093e-01	5.146e-01	4.993e-01	1.187e-03	1.000e+00
9.500e+03	1.427e-01	5.198e-02	2.578e-01	2.967e-01	1.109e-01	5.181e-01	5.000e-01	1.921e-08	1.000e+00
9.600e+03	1.415e-01	4.334e-02	2.721e-01	3.382e-01	1.463e-01	5.225e-01	4.910e-01	1.031e-09	1.000e+00
9.700e+03	1.491e-01	6.879e-02	2.533e-01	2.891e-01	1.173e-01	5.132e-01	4.910e-01	0.000e+00	1.000e+00
9.800e+03	1.504e-01	5.356e-02	2.594e-01	2.896e-01	1.092e-01	5.291e-01	4.910e-01	3.497e-15	9.941e-01
9.900e+03	1.398e-01	5.511e-02	2.948e-01	3.286e-01	1.502e-01	5.066e-01	5.000e-01	-8.604e-16	1.000e+00
1.000e+04	1.580e-01	5.441e-02	2.554e-01	2.839e-01	1.092e-01	5.107e-01	4.993e-01	1.031e-09	1.000e+00
1.010e+04	1.553e-01	5.609e-02	2.697e-01	3.390e-01	1.455e-01	5.231e-01	4.772e-01	1.031e-09	9.814e-01
1.020e+04	1.559e-01	4.467e-02	2.821e-01	3.512e-01	1.495e-01	5.207e-01	4.996e-01	3.310e-08	1.000e+00
1.030e+04	1.444e-01	3.941e-02	2.966e-01	3.343e-01	1.490e-01	5.158e-01	4.998e-01	3.497e-15	1.000e+00
1.040e+04	1.767e-01	7.472e-02	2.862e-01	3.351e-01	1.441e-01	5.302e-01	2.059e-01	3.497e-15	1.000e+00
1.050e+04	1.862e-01	7.506e-02	2.953e-01	3.368e-01	1.487e-01	5.204e-01	4.790e-01	3.497e-15	1.000e+00
1.060e+04	1.689e-01	7.398e-02	2.976e-01	3.484e-01	1.500e-01	5.166e-01	5.000e-01	1.031e-09	1.000e+00
1.070e+04	1.470e-01	4.787e-02	2.610e-01	3.357e-01	1.115e-01	5.130e-01	5.000e-01	0.000e+00	1.000e+00
1.080e+04	1.218e-01	3.958e-02	2.566e-01	3.407e-01	1.092e-01	5.245e-01	5.000e-01	3.497e-15	1.000e+00
1.090e+04	1.369e-01	5.118e-02	2.544e-01	3.452e-01	1.092e-01	5.345e-01	5.000e-01	0.000e+00	9.971e-01
