n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
9.600e+03	1.086e-01	-4.181e-02	2.405e-01	6.101e-01	1.165e-01	8.471e-01	4.836e-01	1.664e-01	6.000e-01
9.700e+03	1.862e-01	1.106e-02	2.519e-01	6.137e-01	2.095e-01	8.128e-01	4.500e-01	3.432e-01	6.000e-01
9.800e+03	1.841e-01	-5.433e-02	2.727e-01	5.102e-01	4.703e-02	8.813e-01	4.500e-01	8.669e-02	6.000e-01
9.900e+03	1.745e-01	4.490e-04	2.843e-01	6.277e-01	1.829e-01	8.340e-01	3.992e-01	-2.127e-01	6.000e-01
1.000e+04	1.537e-01	1.071e-01	2.875e-01	5.345e-01	8.028e-02	8.488e-01	4.052e-01	9.041e-02	6.000e-01
1.010e+04	2.274e-01	1.216e-01	2.908e-01	3.896e-01	9.322e-03	8.284e-01	4.052e-01	5.229e-02	6.000e-01
1.020e+04	2.037e-01	-2.128e-02	2.999e-01	4.000e-01	-8.015e-02	8.417e-01	4.090e-01	2.404e-02	6.000e-01
1.030e+04	1.750e-01	-3.734e-02	2.812e-01	6.626e-01	3.173e-01	8.187e-01	4.133e-01	1.159e-01	6.000e-01
1.040e+04	2.184e-01	3.724e-02	3.048e-01	4.000e-01	4.651e-02	8.154e-01	4.500e-01	1.153e-01	6.000e-01
1.050e+04	1.779e-01	-1.018e-01	2.848e-01	6.168e-01	9.618e-02	9.060e-01	4.090e-01	4.950e-02	6.000e-01
1.060e+04	2.209e-01	-6.795e-02	3.165e-01	6.396e-01	1.892e-01	8.960e-01	4.318e-01	1.529e-02	6.000e-01
1.070e+04	1.844e-01	1.756e-03	2.836e-01	3.811e-01	2.123e-01	7.207e-01	4.052e-01	3.784e-02	6.000e-01
1.080e+04	1.953e-01	2.547e-02	2.518e-01	4.774e-01	1.898e-01	8.653e-01	4.090e-01	1.000e-01	6.000e-01
1.090e+04	1.484e-01	-6.978e-02	2.526e-01	5.382e-01	1.651e-01	8.043e-01	4.090e-01	8.139e-02	6.000e-01
1.100e+04	1.837e-01	3.781e-02	2.592e-01	4.000e-01	5.672e-02	7.408e-01	4.090e-01	-5.527e-03	6.000e-01
1.110e+04	2.085e-01	1.218e-01	2.838e-01	4.000e-01	3.996e-02	8.362e-01	4.500e-01	-8.687e-02	6.000e-01
1.120e+04	1.963e-01	8.312e-02	2.990e-01	4.298e-01	1.632e-02	8.787e-01	4.090e-01	8.343e-02	6.000e-01
1.130e+04	1.623e-01	-5.422e-02	2.583e-01	6.693e-01	3.004e-01	9.439e-01	4.500e-01	-3.335e-02	6.000e-01
