n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.160e+04	4.044e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
1.170e+04	4.044e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
1.180e+04	4.044e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
1.190e+04	4.044e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.380e-01
1.200e+04	4.044e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	6.500e-01
1.210e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.220e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.230e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.240e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.250e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.260e+04	4.074e-01	3.232e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.270e+04	4.074e-01	3.545e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.843e-01	1.144e-01	5.260e-01
1.280e+04	4.074e-01	3.545e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.947e-01	1.144e-01	5.260e-01
1.290e+04	4.074e-01	3.545e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.947e-01	1.144e-01	5.260e-01
1.300e+04	4.097e-01	3.596e-01	4.688e-01	5.661e-01	4.873e-01	7.353e-01	2.947e-01	1.144e-01	5.026e-01
1.310e+04	4.086e-01	3.596e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.947e-01	1.144e-01	5.026e-01
1.320e+04	4.086e-01	3.596e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.715e-01	1.144e-01	4.956e-01
1.330e+04	4.086e-01	3.596e-01	4.650e-01	5.661e-01	4.873e-01	7.353e-01	2.308e-01	1.090e-01	4.956e-01
1.340e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.308e-01	1.090e-01	4.956e-01
1.350e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.308e-01	1.090e-01	4.956e-01
1.360e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.370e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.380e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.390e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.400e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.410e+04	4.074e-01	3.596e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.420e+04	4.073e-01	3.232e-01	4.561e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.956e-01
1.430e+04	4.044e-01	3.232e-01	4.410e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.440e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.450e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.460e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.470e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.480e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.490e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	2.033e-01	1.090e-01	4.728e-01
1.500e+04	4.004e-01	3.232e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.987e-01	1.090e-01	4.728e-01
1.510e+04	3.925e-01	3.069e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.987e-01	1.090e-01	4.728e-01
1.520e+04	3.925e-01	3.069e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.530e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.540e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.550e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.560e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.570e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.580e+04	3.925e-01	2.978e-01	4.326e-01	5.661e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.590e+04	3.925e-01	2.978e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.600e+04	3.925e-01	2.978e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.610e+04	3.925e-01	2.978e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.979e-01	8.121e-02	4.720e-01
1.620e+04	3.925e-01	2.978e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.630e+04	3.925e-01	2.978e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.640e+04	3.985e-01	3.069e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.650e+04	3.985e-01	3.069e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.660e+04	3.985e-01	3.069e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.670e+04	3.985e-01	3.069e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.680e+04	3.985e-01	3.069e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.690e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.700e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.710e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.720e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.730e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.740e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.750e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.720e-01
1.760e+04	3.985e-01	3.232e-01	4.410e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.728e-01
1.770e+04	3.925e-01	3.232e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.728e-01
1.780e+04	3.925e-01	3.232e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.875e-01	6.058e-02	4.728e-01
1.790e+04	3.925e-01	3.232e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.804e-01	6.058e-02	4.728e-01
1.800e+04	3.925e-01	3.232e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.804e-01	6.058e-02	4.728e-01
1.810e+04	3.925e-01	3.069e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.804e-01	6.058e-02	4.720e-01
1.820e+04	3.925e-01	3.069e-01	4.326e-01	5.556e-01	4.873e-01	7.353e-01	1.804e-01	6.058e-02	4.720e-01
