n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.360e+04	2.763e-01	1.556e-01	3.329e-01	5.239e-01	2.641e-01	7.938e-01	4.902e-01	-1.521e-02	5.000e-01
1.370e+04	2.531e-01	8.621e-02	2.973e-01	5.000e-01	9.746e-02	7.901e-01	4.965e-01	0.000e+00	5.000e-01
1.380e+04	2.664e-01	3.577e-02	3.027e-01	5.810e-01	1.036e-01	7.871e-01	4.892e-01	-1.341e-02	5.000e-01
1.390e+04	2.736e-01	2.009e-01	3.028e-01	5.000e-01	-2.622e-04	6.976e-01	4.199e-01	2.395e-11	5.000e-01
1.400e+04	2.753e-01	1.780e-01	3.229e-01	5.000e-01	2.078e-01	7.312e-01	5.000e-01	1.068e-10	5.000e-01
1.410e+04	2.870e-01	2.126e-01	3.095e-01	5.694e-01	2.782e-01	8.076e-01	1.365e-01	-1.833e-02	5.000e-01
1.420e+04	2.678e-01	1.984e-01	3.044e-01	4.006e-01	1.393e-01	6.818e-01	1.645e-01	-1.408e-01	5.000e-01
1.430e+04	2.700e-01	2.023e-01	3.329e-01	4.375e-01	5.539e-02	7.311e-01	2.673e-01	-5.542e-02	5.000e-01
1.440e+04	2.586e-01	2.951e-11	2.964e-01	5.693e-01	2.901e-01	8.217e-01	4.395e-01	-3.555e-02	5.000e-01
1.450e+04	2.578e-01	7.794e-02	3.183e-01	5.265e-01	7.868e-02	8.658e-01	2.914e-01	-8.422e-02	5.000e-01
1.460e+04	2.642e-01	1.780e-02	3.194e-01	5.000e-01	5.799e-02	8.192e-01	4.864e-01	-3.780e-02	5.000e-01
1.470e+04	2.649e-01	6.451e-12	3.518e-01	5.000e-01	3.368e-02	8.009e-01	3.795e-01	-6.939e-16	5.000e-01
1.480e+04	2.477e-01	4.220e-10	3.046e-01	4.999e-01	2.238e-01	6.944e-01	2.203e-02	-3.203e-01	5.000e-01
1.490e+04	2.487e-01	1.046e-01	3.015e-01	5.000e-01	9.971e-02	8.413e-01	4.156e-01	-4.158e-07	5.000e-01
1.500e+04	2.960e-01	1.513e-01	3.700e-01	4.837e-01	1.031e-01	6.986e-01	5.000e-01	-4.888e-06	5.000e-01
1.510e+04	2.770e-01	2.264e-01	3.373e-01	4.677e-01	3.032e-03	8.259e-01	3.539e-02	-2.711e-01	5.000e-01
1.520e+04	2.601e-01	1.179e-02	3.139e-01	5.000e-01	5.477e-02	6.684e-01	1.966e-01	-6.645e-02	5.000e-01
1.530e+04	2.896e-01	2.230e-01	3.825e-01	5.000e-01	1.193e-01	6.947e-01	4.329e-01	-5.462e-02	5.000e-01
1.540e+04	2.900e-01	1.938e-01	3.683e-01	5.000e-01	2.050e-01	8.534e-01	4.957e-01	-1.662e-01	5.000e-01
1.550e+04	3.019e-01	1.801e-01	3.312e-01	5.000e-01	1.138e-01	7.671e-01	3.396e-01	-5.176e-02	5.000e-01
1.560e+04	2.844e-01	3.075e-03	3.186e-01	5.000e-01	1.181e-01	8.216e-01	4.205e-01	-3.282e-02	5.000e-01
1.570e+04	2.794e-01	2.184e-01	3.203e-01	4.931e-01	1.355e-01	8.134e-01	3.290e-01	-1.116e-02	5.000e-01
1.580e+04	2.593e-01	-1.923e-01	3.382e-01	5.534e-01	2.928e-01	9.112e-01	5.000e-01	0.000e+00	5.000e-01
1.590e+04	2.580e-01	1.957e-01	3.075e-01	5.000e-01	1.081e-01	7.725e-01	2.517e-01	-2.206e-12	5.000e-01
