n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
9.100e+03	2.608e-01	-7.720e-06	5.000e-01	5.353e-01	4.211e-01	7.206e-01	1.000e+00	2.804e-01	1.000e+00
9.200e+03	2.608e-01	-8.529e-02	5.000e-01	5.353e-01	4.058e-01	7.160e-01	1.000e+00	4.389e-01	1.000e+00
9.300e+03	2.609e-01	-1.041e-01	4.996e-01	5.350e-01	4.065e-01	7.039e-01	9.997e-01	2.777e-01	1.000e+00
9.400e+03	2.506e-01	-1.673e-01	4.574e-01	5.103e-01	3.038e-01	6.932e-01	1.000e+00	1.203e-01	1.000e+00
9.500e+03	3.452e-01	1.913e-03	5.000e-01	5.473e-01	4.139e-01	7.192e-01	9.997e-01	4.383e-02	1.000e+00
9.600e+03	2.513e-01	-1.062e-01	4.724e-01	5.472e-01	4.138e-01	7.074e-01	9.997e-01	3.221e-01	1.000e+00
9.700e+03	2.513e-01	-1.058e-01	4.737e-01	5.072e-01	3.123e-01	7.177e-01	9.997e-01	1.472e-01	1.000e+00
9.800e+03	2.537e-01	-9.327e-02	4.731e-01	5.201e-01	3.302e-01	6.932e-01	9.997e-01	1.256e-01	1.000e+00
9.900e+03	2.513e-01	-8.991e-02	4.883e-01	5.092e-01	2.886e-01	6.955e-01	9.997e-01	1.658e-01	1.000e+00
1.000e+04	2.456e-01	-1.519e-01	4.706e-01	5.355e-01	4.131e-01	7.021e-01	5.105e-01	2.764e-01	1.000e+00
1.010e+04	3.465e-01	-5.679e-05	5.000e-01	5.357e-01	4.186e-01	7.079e-01	9.997e-01	1.376e-01	1.000e+00
1.020e+04	2.513e-01	-1.678e-01	5.000e-01	5.074e-01	3.943e-01	6.692e-01	9.997e-01	1.816e-01	1.000e+00
