n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
8.400e+03	1.240e-01	4.350e-02	2.441e-01	2.954e-01	1.941e-01	3.966e-01	1.725e-01	7.382e-02	3.649e-01
8.500e+03	1.240e-01	4.350e-02	2.441e-01	3.011e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
8.600e+03	1.240e-01	4.350e-02	2.441e-01	3.011e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
8.700e+03	1.240e-01	4.350e-02	2.441e-01	3.011e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
8.800e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
8.900e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
9.000e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.719e-01	6.660e-02	3.593e-01
9.100e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	2.002e-01	7.382e-02	3.593e-01
9.200e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.752e-01	7.382e-02	3.593e-01
9.300e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.752e-01	7.382e-02	3.593e-01
9.400e+03	1.115e-01	4.350e-02	2.403e-01	2.968e-01	1.941e-01	4.021e-01	1.752e-01	7.382e-02	3.593e-01
9.500e+03	1.115e-01	4.350e-02	2.403e-01	2.709e-01	1.941e-01	3.966e-01	1.752e-01	7.382e-02	3.593e-01
9.600e+03	1.115e-01	4.350e-02	2.403e-01	2.709e-01	1.941e-01	3.966e-01	2.002e-01	7.382e-02	3.593e-01
9.700e+03	1.115e-01	4.350e-02	2.403e-01	2.709e-01	1.941e-01	3.859e-01	2.002e-01	7.382e-02	3.593e-01
9.800e+03	1.115e-01	4.350e-02	2.403e-01	2.660e-01	1.941e-01	3.781e-01	2.002e-01	7.382e-02	3.593e-01
9.900e+03	1.115e-01	4.350e-02	2.403e-01	2.447e-01	1.941e-01	3.632e-01	2.002e-01	7.382e-02	3.593e-01
1.000e+04	1.115e-01	4.350e-02	2.403e-01	2.447e-01	1.941e-01	3.632e-01	2.002e-01	7.382e-02	3.593e-01
1.010e+04	1.115e-01	4.350e-02	2.403e-01	2.660e-01	1.941e-01	3.632e-01	2.147e-01	7.812e-02	3.594e-01
1.020e+04	1.115e-01	4.350e-02	2.403e-01	2.365e-01	1.941e-01	3.859e-01	2.147e-01	7.812e-02	3.594e-01
1.030e+04	1.115e-01	4.350e-02	2.403e-01	2.361e-01	1.932e-01	3.859e-01	2.147e-01	7.812e-02	3.594e-01
1.040e+04	9.853e-02	4.350e-02	2.403e-01	2.361e-01	1.932e-01	3.859e-01	2.002e-01	7.382e-02	3.594e-01
1.050e+04	9.853e-02	4.350e-02	2.403e-01	2.361e-01	1.932e-01	3.859e-01	2.002e-01	7.382e-02	3.764e-01
1.060e+04	9.853e-02	4.350e-02	2.403e-01	2.365e-01	1.932e-01	3.859e-01	2.002e-01	7.382e-02	3.764e-01
1.070e+04	9.293e-02	4.350e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	2.002e-01	7.382e-02	3.764e-01
1.080e+04	9.293e-02	4.350e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	2.002e-01	7.382e-02	3.764e-01
1.090e+04	9.293e-02	4.350e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	2.002e-01	7.382e-02	3.764e-01
1.100e+04	9.853e-02	4.744e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	2.002e-01	7.382e-02	3.764e-01
1.110e+04	9.853e-02	4.744e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	2.002e-01	7.382e-02	3.764e-01
1.120e+04	9.853e-02	4.744e-02	2.403e-01	2.365e-01	1.932e-01	3.714e-01	1.725e-01	6.543e-02	3.764e-01
1.130e+04	9.853e-02	4.744e-02	2.403e-01	2.361e-01	1.932e-01	3.714e-01	1.725e-01	6.543e-02	4.156e-01
1.140e+04	9.853e-02	4.744e-02	2.403e-01	2.288e-01	1.829e-01	3.714e-01	1.725e-01	6.543e-02	4.156e-01
1.150e+04	9.853e-02	4.744e-02	2.403e-01	2.288e-01	1.829e-01	3.714e-01	2.002e-01	6.543e-02	4.156e-01
