n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.100e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.110e+04	1.405e-02	1.015e-02	1.853e-02	1.323e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.120e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.130e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.140e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.150e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.160e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.170e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.180e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.190e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.200e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.210e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.220e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.230e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.084e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.240e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.421e-01
1.250e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.421e-01
1.260e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.421e-01
1.270e+04	1.405e-02	1.015e-02	1.853e-02	1.269e-02	9.079e-03	1.626e-02	2.381e-04	3.090e-09	2.421e-01
1.280e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
1.290e+04	1.405e-02	1.015e-02	1.853e-02	1.377e-02	9.079e-03	1.733e-02	2.381e-04	3.090e-09	2.421e-01
