problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→fitness;best→quality→increase;best→quality→consistency
train;me-hebbian-network;9;12;1200;1200;8.99480e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;12;1200;1200;9.06890e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;-4.94602e-02;0.00000e+00
train;me-hebbian-network;2;12;1200;1200;9.14210e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;12;1200;1200;9.21370e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;13;1300;1300;9.29270e+01;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;13;1300;1300;9.36280e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;13;1300;1300;9.44200e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;13;1300;1300;9.51990e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;13;1300;1300;9.59190e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72018e+00;2.83242e-01;9.11518e-05
train;me-hebbian-network;6;13;1300;1300;9.67060e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.76569e+01;2.12149e+01;4.57190e+01
train;me-hebbian-network;9;13;1300;1300;9.73760e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;13;1300;1300;9.81260e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71998e+00;3.25443e+00;3.41949e-06
train;me-hebbian-network;2;13;1300;1300;9.89110e+01;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;13;1300;1300;9.96100e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;14;1400;1400;1.00401e+02;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;14;1400;1400;1.01110e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;14;1400;1400;1.01891e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;14;1400;1400;1.02611e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;14;1400;1400;1.03339e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72018e+00;2.83242e-01;9.11518e-05
train;me-hebbian-network;6;14;1400;1400;1.04062e+02;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.76569e+01;2.12149e+01;4.57190e+01
train;me-hebbian-network;9;14;1400;1400;1.04822e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;14;1400;1400;1.05628e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71998e+00;3.25443e+00;3.41949e-06
train;me-hebbian-network;2;14;1400;1400;1.06367e+02;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;14;1400;1400;1.07091e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;15;1500;1500;1.07809e+02;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;15;1500;1500;1.08638e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;15;1500;1500;1.09346e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;15;1500;1500;1.10063e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;15;1500;1500;1.10856e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71592e+00;2.44824e-02;2.62105e-03
train;me-hebbian-network;6;15;1500;1500;1.11574e+02;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.76569e+01;2.12149e+01;4.57190e+01
train;me-hebbian-network;9;15;1500;1500;1.12315e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;15;1500;1500;1.13035e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.46211e+00;2.93030e+00;4.67725e+00
train;me-hebbian-network;2;15;1500;1500;1.13817e+02;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.75777e+01;2.33039e+01;3.42399e+01
train;me-hebbian-network;1;15;1500;1500;1.14523e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72002e+00;1.79300e+00;1.75998e-08
train;me-hebbian-network;5;16;1600;1600;1.15267e+02;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;4.83362e+01;5.59415e+01;1.16034e+02
train;me-hebbian-network;8;16;1600;1600;1.16018e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.72000e+00;8.12697e-01;0.00000e+00
train;me-hebbian-network;3;16;1600;1600;1.16754e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.04455e+00;5.98529e+00;8.02473e+00
train;me-hebbian-network;7;16;1600;1600;1.17556e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71670e+00;1.41893e-01;3.78682e-03
train;me-hebbian-network;10;16;1600;1600;1.18266e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.71592e+00;2.44824e-02;2.62105e-03
train;me-hebbian-network;6;16;1600;1600;1.19014e+02;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.76569e+01;2.12149e+01;4.57190e+01
train;me-hebbian-network;9;16;1600;1600;1.19741e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-2.48804e+00;-7.65492e+00;6.05008e+00
train;me-hebbian-network;4;16;1600;1600;1.20465e+02;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-3.46211e+00;2.93030e+00;4.67725e+00
