n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.110e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	2.086e-03
1.120e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	2.086e-03
1.130e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	2.086e-03
1.140e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	2.086e-03
1.150e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	4.069e-03
1.160e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	4.069e-03
1.170e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	3.212e-07	9.613e-11	4.069e-03
1.180e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.190e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.200e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.210e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
1.220e+04	1.492e-02	1.735e-03	1.908e-02	1.561e-02	1.223e-02	1.783e-02	1.588e-07	4.581e-12	2.086e-03
