n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
1.080e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.090e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.100e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.110e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.120e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	4.972e+01	-1.010e+00	1.160e+02
1.130e+04	7.759e+00	-1.985e+00	1.308e+01	4.804e+02	4.519e+02	4.985e+02	5.113e+01	-1.010e+00	1.160e+02
1.140e+04	8.009e+00	-1.985e+00	1.596e+01	4.804e+02	4.519e+02	4.985e+02	5.113e+01	-1.010e+00	1.160e+02
1.150e+04	8.009e+00	-1.985e+00	1.596e+01	4.804e+02	4.524e+02	4.985e+02	5.402e+01	-1.010e+00	1.160e+02
1.160e+04	8.009e+00	-1.985e+00	1.596e+01	4.804e+02	4.524e+02	4.985e+02	5.402e+01	-1.010e+00	1.160e+02
1.170e+04	9.453e+00	-1.985e+00	1.596e+01	4.805e+02	4.524e+02	4.985e+02	5.402e+01	-1.010e+00	1.160e+02
1.180e+04	9.453e+00	-1.985e+00	1.615e+01	4.805e+02	4.524e+02	4.985e+02	5.402e+01	-1.010e+00	1.160e+02
1.190e+04	9.453e+00	-1.985e+00	1.615e+01	4.805e+02	4.524e+02	4.985e+02	5.402e+01	-1.010e+00	1.160e+02
1.200e+04	9.453e+00	-1.985e+00	1.615e+01	4.805e+02	4.524e+02	4.985e+02	5.597e+01	-1.010e+00	1.837e+02
1.210e+04	9.453e+00	-1.985e+00	1.615e+01	4.805e+02	4.524e+02	4.985e+02	5.597e+01	-1.010e+00	1.837e+02
1.220e+04	9.453e+00	-1.985e+00	1.615e+01	4.805e+02	4.540e+02	5.005e+02	5.597e+01	-1.010e+00	1.837e+02
1.230e+04	9.632e+00	-1.985e+00	1.648e+01	4.805e+02	4.661e+02	5.005e+02	5.597e+01	-1.010e+00	1.837e+02
1.240e+04	9.632e+00	-1.985e+00	1.648e+01	4.805e+02	4.661e+02	5.005e+02	5.597e+01	-1.010e+00	1.837e+02
1.250e+04	9.632e+00	-1.985e+00	1.648e+01	4.805e+02	4.661e+02	5.005e+02	6.913e+01	-1.010e+00	1.837e+02
1.260e+04	9.632e+00	-1.985e+00	1.648e+01	4.805e+02	4.661e+02	5.005e+02	6.913e+01	-1.010e+00	1.837e+02
1.270e+04	1.071e+01	-1.985e+00	1.849e+01	4.805e+02	4.681e+02	5.005e+02	6.913e+01	-1.009e+00	1.837e+02
1.280e+04	1.071e+01	-1.985e+00	1.849e+01	4.805e+02	4.681e+02	5.005e+02	6.913e+01	-1.009e+00	1.837e+02
1.290e+04	1.071e+01	-1.985e+00	1.849e+01	4.805e+02	4.681e+02	5.005e+02	6.913e+01	-1.009e+00	1.837e+02
1.300e+04	1.071e+01	-1.985e+00	1.849e+01	4.809e+02	4.681e+02	5.005e+02	6.913e+01	-1.008e+00	1.837e+02
1.310e+04	1.071e+01	-1.985e+00	1.849e+01	4.809e+02	4.681e+02	5.015e+02	6.913e+01	-1.008e+00	1.837e+02
1.320e+04	1.071e+01	-1.985e+00	1.849e+01	4.809e+02	4.681e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.330e+04	1.071e+01	-1.985e+00	1.849e+01	4.809e+02	4.681e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.340e+04	1.192e+01	-1.985e+00	2.309e+01	4.809e+02	4.681e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.350e+04	1.192e+01	-1.985e+00	2.309e+01	4.834e+02	4.681e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.360e+04	1.192e+01	-1.985e+00	2.309e+01	4.834e+02	4.681e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.370e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.380e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.390e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.400e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.913e+01	-1.008e+00	1.837e+02
1.410e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.998e+01	-1.008e+00	1.837e+02
1.420e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.998e+01	-1.008e+00	1.837e+02
1.430e+04	1.192e+01	-1.985e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.998e+01	-1.008e+00	1.837e+02
1.440e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	6.998e+01	-1.008e+00	1.837e+02
1.450e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	7.189e+01	-1.008e+00	2.084e+02
1.460e+04	1.192e+01	-1.633e+00	2.309e+01	4.869e+02	4.686e+02	5.037e+02	7.189e+01	-1.008e+00	2.084e+02
