n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
1.040e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.775e-01
1.050e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.775e-01
1.060e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.775e-01
1.070e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.775e-01
1.080e+04	2.762e-01	2.496e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	2.775e-01
1.090e+04	2.769e-01	2.502e-01	2.939e-01	2.082e-01	1.692e-01	2.556e-01	8.183e-02	3.082e-02	3.391e-01
1.100e+04	2.769e-01	2.502e-01	2.939e-01	2.082e-01	1.693e-01	2.556e-01	8.183e-02	3.082e-02	3.391e-01
1.110e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.556e-01	8.183e-02	3.082e-02	3.391e-01
1.120e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.556e-01	8.133e-02	3.082e-02	3.391e-01
1.130e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.556e-01	8.133e-02	3.082e-02	3.391e-01
1.140e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.556e-01	8.133e-02	3.082e-02	3.391e-01
1.150e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.556e-01	8.133e-02	3.082e-02	2.809e-01
1.160e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.082e-02	2.809e-01
1.170e+04	2.769e-01	2.502e-01	2.939e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.082e-02	3.391e-01
1.180e+04	2.831e-01	2.627e-01	2.964e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.082e-02	3.391e-01
1.190e+04	2.831e-01	2.633e-01	2.964e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.123e-02	3.391e-01
1.200e+04	2.831e-01	2.633e-01	2.964e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.123e-02	3.391e-01
1.210e+04	2.831e-01	2.633e-01	2.964e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
1.220e+04	2.831e-01	2.633e-01	2.964e-01	2.108e-01	1.693e-01	2.571e-01	8.133e-02	3.221e-02	3.391e-01
