problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;5;[8, 8, 8];6;1100;600;6.48620e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.34595e+02;8.90909e+00;1.18581e+02
train;mlp;9;[8, 8, 8];6;1100;600;6.63490e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.25421e+02;-3.53477e+00;3.71674e+00
train;mlp;4;[8, 8, 8];6;1100;600;6.67070e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.00697e+02;1.16184e+01;-1.16714e+01
train;mlp;6;[8, 8, 8];6;1100;600;6.86230e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.13735e+02;5.09934e-02;1.17347e+02
train;mlp;2;[8, 8, 8];6;1100;600;6.96860e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.21703e+02;-9.98489e-01;1.42645e+01
train;mlp;10;[8, 8, 8];7;1300;700;7.15910e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.69037e+02;5.50696e+01;1.02149e+02
train;mlp;8;[8, 8, 8];6;1100;600;7.20490e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.11615e+02;-9.99384e+01;1.13094e+02
train;mlp;1;[8, 8, 8];7;1300;700;7.27400e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.48148e+02;1.23538e+01;1.64684e+00
train;mlp;7;[8, 8, 8];7;1300;700;7.41610e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.86646e+02;7.48537e+00;2.72386e+01
train;mlp;3;[8, 8, 8];7;1300;700;7.55790e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.11604e+02;4.93068e-01;1.14281e-01
train;mlp;5;[8, 8, 8];7;1300;700;7.66560e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.32660e+02;6.39652e+00;5.72884e+01
train;mlp;9;[8, 8, 8];7;1300;700;7.73770e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.24848e+02;-9.24379e+00;8.56611e+00
train;mlp;4;[8, 8, 8];7;1300;700;7.85510e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.30342e+02;-1.02484e+02;1.34267e+02
train;mlp;6;[8, 8, 8];7;1300;700;8.04700e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.35684e+02;9.21402e+00;6.74837e-01
train;mlp;10;[8, 8, 8];8;1500;800;8.28030e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.22268e+02;-7.17626e-01;3.00571e+00
train;mlp;2;[8, 8, 8];7;1300;700;8.28630e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.41894e+02;1.49305e+00;1.02879e+02
train;mlp;8;[8, 8, 8];7;1300;700;8.43580e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;9.98381e+01;4.92641e-01;1.25344e+00
train;mlp;1;[8, 8, 8];8;1500;800;8.47520e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.02232e+02;-2.05766e+01;9.51553e-01
train;mlp;7;[8, 8, 8];8;1500;800;8.74620e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.55894e+02;4.22875e+01;-5.29948e+00
train;mlp;3;[8, 8, 8];8;1500;800;8.84730e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.87172e+02;-1.78087e+01;1.03692e+02
train;mlp;5;[8, 8, 8];8;1500;800;8.90930e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.78741e+02;-7.17281e+01;9.98845e+01
train;mlp;9;[8, 8, 8];8;1500;800;9.10160e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.26372e+02;-2.18818e+02;1.20026e+02
train;mlp;4;[8, 8, 8];8;1500;800;9.28570e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.04267e+02;-1.08628e+01;9.65027e+01
train;mlp;6;[8, 8, 8];8;1500;800;9.28740e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.31175e+02;-8.74315e+01;9.29092e+01
train;mlp;10;[8, 8, 8];9;1700;900;9.34530e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.79737e+02;-2.37378e+01;1.97401e+01
train;mlp;2;[8, 8, 8];8;1500;800;9.53480e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.16891e+02;-2.35280e+01;1.99188e+01
train;mlp;8;[8, 8, 8];8;1500;800;9.58180e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.12834e+02;-1.50645e+00;5.93513e+00
train;mlp;1;[8, 8, 8];9;1700;900;9.71870e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.14588e+02;1.17654e-01;1.42341e+01
train;mlp;7;[8, 8, 8];9;1700;900;9.86190e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.88822e+02;-7.61838e+00;1.43923e+02
train;mlp;3;[8, 8, 8];9;1700;900;1.00247e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.78142e+02;-1.22792e+00;9.22390e+01
train;mlp;5;[8, 8, 8];9;1700;900;1.00610e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.13051e+02;1.24198e+00;-1.05472e+01
train;mlp;9;[8, 8, 8];9;1700;900;1.02181e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.39266e+02;-1.18252e+02;1.19736e+02
train;mlp;4;[8, 8, 8];9;1700;900;1.03281e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.23072e+02;-6.15800e+01;1.07805e+02
train;mlp;6;[8, 8, 8];9;1700;900;1.04597e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.44008e+02;-1.51285e+02;6.83972e+01
train;mlp;10;[8, 8, 8];10;1900;1000;1.06143e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.49516e+02;6.98376e+01;8.68027e+01
train;mlp;2;[8, 8, 8];9;1700;900;1.06831e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.35212e+02;-1.03257e+01;1.09766e+02
train;mlp;8;[8, 8, 8];9;1700;900;1.08526e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.53406e+02;-1.22789e+01;1.24678e+01
train;mlp;1;[8, 8, 8];10;1900;1000;1.09407e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.10762e+02;4.02719e+01;-2.50287e+01
train;mlp;7;[8, 8, 8];10;1900;1000;1.11563e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.50931e+02;3.12509e+01;2.45415e+01
train;mlp;3;[8, 8, 8];10;1900;1000;1.12200e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.77365e+02;-8.29037e+01;9.04542e+01
train;mlp;5;[8, 8, 8];10;1900;1000;1.13263e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.12368e+02;-1.82878e+01;1.15814e+02
train;mlp;9;[8, 8, 8];10;1900;1000;1.14424e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.40227e+02;-4.21267e+00;1.18955e+02
train;mlp;4;[8, 8, 8];10;1900;1000;1.15234e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.95875e+02;-5.36005e+01;1.33535e+02
train;mlp;6;[8, 8, 8];10;1900;1000;1.16607e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.17340e+02;3.39194e+00;1.09915e+02
train;mlp;10;[8, 8, 8];11;2100;1100;1.18520e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.56184e+02;2.81999e+01;7.10629e+01
train;mlp;2;[8, 8, 8];10;1900;1000;1.18899e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.39678e+02;-2.90822e+00;1.05931e+02
train;mlp;8;[8, 8, 8];10;1900;1000;1.19812e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.55174e+02;1.57157e+02;-1.25936e+00
train;mlp;1;[8, 8, 8];11;2100;1100;1.21230e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.23610e+02;1.44966e+01;9.25008e+01
train;mlp;7;[8, 8, 8];11;2100;1100;1.22610e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.86453e+02;3.11756e-01;5.92409e+01
train;mlp;3;[8, 8, 8];11;2100;1100;1.23350e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.60237e+02;8.20004e+01;1.89478e+00
train;mlp;5;[8, 8, 8];11;2100;1100;1.24192e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.46240e+02;1.72585e+01;8.57870e+01
train;mlp;9;[8, 8, 8];11;2100;1100;1.26002e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.32361e+02;-1.35122e+01;3.03379e+01
train;mlp;4;[8, 8, 8];11;2100;1100;1.27645e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.89896e+02;1.88697e+02;-5.00063e+00
train;mlp;6;[8, 8, 8];11;2100;1100;1.28486e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.34794e+02;-6.55510e+01;8.91007e+01
train;mlp;10;[8, 8, 8];12;2300;1200;1.29709e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.43973e+02;-9.37410e+01;1.16649e+02
train;mlp;2;[8, 8, 8];11;2100;1100;1.30662e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.29784e+02;8.24715e+00;-1.24762e+00
train;mlp;8;[8, 8, 8];11;2100;1100;1.32286e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.00190e+02;-7.12238e+01;7.71691e+01
train;mlp;1;[8, 8, 8];12;2300;1200;1.34195e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.55292e+02;3.83066e+01;3.45138e+01
train;mlp;7;[8, 8, 8];12;2300;1200;1.34296e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.98909e+02;1.98612e+01;9.40544e+01
train;mlp;3;[8, 8, 8];12;2300;1200;1.35739e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.64802e+02;7.58064e+01;-9.59405e+01
train;mlp;5;[8, 8, 8];12;2300;1200;1.37663e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.59515e+02;-1.59472e+01;1.36330e+02
train;mlp;9;[8, 8, 8];12;2300;1200;1.38404e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.78814e+02;6.51652e+00;7.80381e+01
train;mlp;4;[8, 8, 8];12;2300;1200;1.39164e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.55694e+02;4.11666e+00;7.24897e+01
train;mlp;6;[8, 8, 8];12;2300;1200;1.40763e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.15524e+02;1.11146e+02;8.77178e+01
train;mlp;10;[8, 8, 8];13;2500;1300;1.42212e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.67524e+02;-7.16397e+01;6.96085e+01
train;mlp;2;[8, 8, 8];12;2300;1200;1.43130e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.37695e+02;1.07734e+02;1.50990e+00
train;mlp;8;[8, 8, 8];12;2300;1200;1.44177e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.01004e+02;1.80197e+01;-2.40394e+01
train;mlp;1;[8, 8, 8];13;2500;1300;1.45675e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.38827e+02;-1.03905e+01;5.76977e+01
train;mlp;7;[8, 8, 8];13;2500;1300;1.46534e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.87850e+02;-7.91923e+00;8.29733e+01
train;mlp;3;[8, 8, 8];13;2500;1300;1.48133e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.31809e+02;-3.77367e+01;-1.24094e+01
train;mlp;5;[8, 8, 8];13;2500;1300;1.49063e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.11327e+02;3.48777e-01;1.13236e+02
train;mlp;9;[8, 8, 8];13;2500;1300;1.50404e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.95549e+02;7.42462e+01;1.04281e+02
train;mlp;4;[8, 8, 8];13;2500;1300;1.50937e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.62891e+02;1.89069e+02;-2.93114e+01
train;mlp;6;[8, 8, 8];13;2500;1300;1.52847e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.36078e+02;6.33219e+00;9.93295e+01
train;mlp;10;[8, 8, 8];14;2700;1400;1.55148e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.19536e+02;-4.06153e+01;8.72320e+01
train;mlp;2;[8, 8, 8];13;2500;1300;1.55292e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.27780e+02;1.74544e+00;-2.75072e+00
train;mlp;8;[8, 8, 8];13;2500;1300;1.56407e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.14029e+02;1.75151e+01;-1.95468e+01
train;mlp;1;[8, 8, 8];14;2700;1400;1.58137e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;2.19755e+02;-1.14653e+02;1.23744e+02
train;mlp;7;[8, 8, 8];14;2700;1400;1.59052e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.39690e+02;-7.25036e+01;3.92406e+01
train;mlp;3;[8, 8, 8];14;2700;1400;1.60914e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.46641e+02;8.53741e+01;1.59856e+01
train;mlp;5;[8, 8, 8];14;2700;1400;1.62132e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.45724e+02;4.64700e+01;5.23408e+01
train;mlp;9;[8, 8, 8];14;2700;1400;1.62581e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.19529e+02;2.08237e-01;-5.89173e+00
train;mlp;4;[8, 8, 8];14;2700;1400;1.64185e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.85499e+02;-6.20059e+01;1.45026e+02
