n.evals.q.1.0.	train.8.8.8.mlp.best.quality.consistency	train.8.8.8.mlp.best.quality.consistency.min	train.8.8.8.mlp.best.quality.consistency.max	train.8.8.8.hebbian.synapse.random.best.quality.consistency	train.8.8.8.hebbian.synapse.random.best.quality.consistency.min	train.8.8.8.hebbian.synapse.random.best.quality.consistency.max	train.8.8.8.hebbian.network.random.best.quality.consistency	train.8.8.8.hebbian.network.random.best.quality.consistency.min	train.8.8.8.hebbian.network.random.best.quality.consistency.max	train.8.8.8.freeForm.random.best.quality.consistency	train.8.8.8.freeForm.random.best.quality.consistency.min	train.8.8.8.freeForm.random.best.quality.consistency.max
1.310e+04	5.449e+01	-8.725e+00	1.653e+02	1.120e+02	3.800e+01	1.491e+02	9.401e+01	8.117e+01	1.169e+02	3.601e+01	1.234e+01	1.356e+02
1.330e+04	7.161e+01	-1.287e+00	1.072e+02	1.106e+02	1.887e-01	1.300e+02	1.126e+02	8.875e+01	1.296e+02	6.722e+01	1.587e+01	1.366e+02
1.350e+04	9.799e+01	-3.809e-01	1.068e+02	1.283e+02	7.377e+01	1.754e+02	1.032e+02	6.598e+01	1.077e+02	6.186e+01	7.749e+00	1.375e+02
1.370e+04	6.902e+01	6.017e+00	1.204e+02	1.635e+02	1.267e+02	1.953e+02	1.186e+02	7.291e+01	1.301e+02	4.412e+01	1.016e+01	7.680e+01
1.390e+04	1.147e+02	9.152e+01	1.642e+02	1.288e+02	1.172e+02	1.532e+02	9.062e+01	8.403e+01	1.039e+02	3.743e+01	1.683e+01	1.377e+02
1.410e+04	6.599e+01	1.687e+01	1.034e+02	1.338e+02	1.167e+02	2.265e+02	1.060e+02	7.981e+01	1.225e+02	6.805e+01	1.385e+01	1.367e+02
1.430e+04	9.027e+01	3.802e+01	9.497e+01	1.324e+02	9.426e+01	1.650e+02	9.308e+01	8.109e+01	1.002e+02	9.723e+01	2.687e+01	1.303e+02
1.450e+04	1.060e+02	2.180e+01	1.265e+02	1.358e+02	1.175e+02	2.294e+02	9.376e+01	6.121e+01	1.091e+02	3.053e+01	5.754e+00	3.821e+01
1.470e+04	1.040e+02	3.255e+01	1.372e+02	1.235e+02	6.150e+01	1.344e+02	9.067e+01	6.910e+01	1.134e+02	3.627e+01	1.133e+01	1.370e+02
1.490e+04	8.143e+01	3.794e+01	1.129e+02	1.346e+02	1.235e+02	1.682e+02	8.308e+01	6.024e+01	1.171e+02	6.925e+01	3.971e+01	1.060e+02
1.510e+04	4.999e+01	1.926e+01	9.817e+01	1.307e+02	1.147e+02	2.680e+02	7.721e+01	7.259e+01	1.022e+02	1.063e+02	3.012e+01	1.281e+02
1.530e+04	4.802e+01	1.487e+00	7.624e+01	1.650e+02	8.756e+00	2.183e+02	9.141e+01	7.150e+01	1.010e+02	5.848e+01	1.126e+01	1.206e+02
1.550e+04	7.550e+01	2.424e+01	1.166e+02	1.323e+02	1.225e+02	2.117e+02	9.990e+01	5.865e+01	1.071e+02	3.182e+01	9.014e+00	5.721e+01
1.570e+04	1.503e+02	3.126e+01	1.696e+02	1.331e+02	1.227e+02	1.818e+02	9.737e+01	7.055e+01	1.061e+02	1.078e+02	1.137e+01	1.367e+02
1.590e+04	6.375e+01	5.736e+00	1.146e+02	2.158e+02	1.060e+02	2.500e+02	9.028e+01	7.610e+01	1.099e+02	6.382e+01	1.135e+01	1.033e+02
1.610e+04	1.229e+02	7.479e+01	1.376e+02	1.468e+02	1.140e+02	2.410e+02	1.053e+02	8.492e+01	1.064e+02	5.597e+01	3.810e+01	1.352e+02
1.630e+04	1.318e+02	2.428e+01	1.382e+02	1.230e+02	6.800e+01	1.915e+02	1.085e+02	8.050e+01	1.171e+02	5.539e+01	1.504e+01	1.363e+02
1.650e+04	9.626e+01	2.425e+01	1.083e+02	1.477e+02	1.201e+02	2.418e+02	8.487e+01	7.673e+01	1.013e+02	5.946e+01	1.145e+01	1.351e+02
1.670e+04	4.262e+01	1.099e+01	1.105e+02	2.063e+02	1.200e+02	2.375e+02	9.833e+01	6.707e+01	1.236e+02	2.156e+01	4.746e+00	6.588e+01
1.690e+04	1.173e+02	1.046e+02	1.538e+02	1.218e+02	5.751e+01	1.311e+02	9.998e+01	8.615e+01	1.078e+02	1.198e+02	1.133e+01	1.285e+02
1.710e+04	1.266e+02	7.620e+01	2.015e+02	1.235e+02	6.275e+01	1.781e+02	8.715e+01	6.983e+01	9.958e+01	1.180e+02	1.139e+01	1.348e+02
1.730e+04	9.834e+01	9.378e+01	1.025e+02	1.497e+02	6.492e+01	2.218e+02	1.009e+02	7.445e+01	1.025e+02	1.215e+02	3.407e+01	1.363e+02
1.750e+04	7.122e+01	1.153e+01	1.275e+02	1.319e+02	1.228e+02	2.225e+02	8.878e+01	6.832e+01	1.229e+02	1.301e+02	3.691e+01	1.363e+02
