n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
1.150e+04	2.847e+02	2.546e+02	3.035e+02	1.985e+02	1.313e+02	2.546e+02	1.214e+02	9.422e+01	1.343e+02	6.302e+01	1.908e+01	1.342e+02
1.170e+04	2.949e+02	2.497e+02	3.101e+02	2.311e+02	1.289e+02	2.463e+02	1.056e+02	8.252e+01	1.314e+02	6.929e+01	1.771e+01	1.233e+02
1.190e+04	3.035e+02	2.836e+02	3.124e+02	2.312e+02	1.335e+02	2.455e+02	1.111e+02	1.007e+02	1.146e+02	6.419e+01	2.085e+01	1.356e+02
1.210e+04	2.903e+02	2.605e+02	3.385e+02	2.180e+02	1.351e+02	2.570e+02	1.010e+02	7.486e+01	1.164e+02	6.734e+01	2.703e+01	1.342e+02
1.230e+04	2.987e+02	2.553e+02	3.150e+02	2.044e+02	1.318e+02	2.465e+02	1.007e+02	8.429e+01	1.159e+02	1.029e+02	1.870e+01	1.339e+02
1.250e+04	3.363e+02	2.741e+02	3.502e+02	2.397e+02	1.450e+02	2.515e+02	1.093e+02	8.673e+01	1.227e+02	7.134e+01	1.673e+01	1.380e+02
1.270e+04	2.983e+02	2.514e+02	3.252e+02	2.332e+02	1.301e+02	2.505e+02	9.537e+01	8.477e+01	1.207e+02	6.425e+01	3.040e+01	1.340e+02
1.290e+04	3.235e+02	2.700e+02	3.578e+02	2.035e+02	1.249e+02	2.385e+02	9.202e+01	8.418e+01	1.064e+02	1.238e+02	1.530e+01	1.348e+02
1.310e+04	3.183e+02	2.777e+02	3.252e+02	2.257e+02	1.476e+02	2.505e+02	1.002e+02	9.209e+01	1.144e+02	1.228e+02	1.769e+01	1.344e+02
1.330e+04	3.033e+02	2.557e+02	3.232e+02	2.448e+02	2.250e+02	2.525e+02	1.189e+02	8.992e+01	1.264e+02	1.103e+02	2.635e+01	1.343e+02
