n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.consistency	2d.nav._.hebbian.network.best.quality.consistency.min	2d.nav._.hebbian.network.best.quality.consistency.max	2d.nav._.hebbian.synapse.best.quality.consistency	2d.nav._.hebbian.synapse.best.quality.consistency.min	2d.nav._.hebbian.synapse.best.quality.consistency.max	2d.nav._.freeForm.best.quality.consistency	2d.nav._.freeForm.best.quality.consistency.min	2d.nav._.freeForm.best.quality.consistency.max
7.900e+03	4.678e+00	2.704e+00	1.618e+01	1.108e+00	4.165e-01	2.945e+00	4.333e-01	0.000e+00	3.178e+01
8.000e+03	4.678e+00	2.704e+00	1.618e+01	1.008e+00	4.260e-01	2.945e+00	1.693e-04	0.000e+00	3.178e+01
8.100e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.260e-01	8.106e+00	1.693e-04	0.000e+00	3.178e+01
8.200e+03	4.896e+00	2.704e+00	1.618e+01	8.577e-01	4.270e-01	5.514e+00	1.693e-04	0.000e+00	3.178e+01
8.300e+03	4.896e+00	2.704e+00	1.618e+01	8.577e-01	4.270e-01	5.514e+00	1.693e-04	0.000e+00	3.178e+01
8.400e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.310e-01	5.514e+00	1.693e-04	0.000e+00	5.496e+01
8.500e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.302e-01	5.514e+00	1.693e-04	0.000e+00	5.496e+01
8.600e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.302e-01	5.514e+00	1.693e-04	0.000e+00	5.496e+01
8.700e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.310e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
8.800e+03	4.896e+00	2.704e+00	1.618e+01	1.008e+00	4.310e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
8.900e+03	4.896e+00	2.704e+00	1.614e+01	1.008e+00	4.310e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
9.000e+03	4.896e+00	2.704e+00	1.614e+01	8.577e-01	4.430e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
9.100e+03	5.926e+00	3.309e+00	1.618e+01	8.577e-01	4.430e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
9.200e+03	5.926e+00	3.309e+00	1.618e+01	8.577e-01	4.430e-01	5.514e+00	1.693e-04	0.000e+00	6.885e+01
9.300e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.165e-01	2.102e+00	1.693e-04	0.000e+00	6.885e+01
9.400e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.165e-01	2.102e+00	1.693e-04	0.000e+00	6.885e+01
9.500e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.165e-01	2.159e+00	1.693e-04	0.000e+00	6.885e+01
9.600e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.165e-01	2.159e+00	1.693e-04	0.000e+00	6.885e+01
9.700e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.330e-01	2.159e+00	4.333e-01	0.000e+00	6.885e+01
9.800e+03	5.926e+00	3.309e+00	1.618e+01	7.069e-01	2.710e-02	2.102e+00	1.693e-04	0.000e+00	6.885e+01
9.900e+03	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.330e-01	2.858e+00	4.333e-01	0.000e+00	6.885e+01
1.000e+04	5.926e+00	3.309e+00	1.618e+01	8.416e-01	4.330e-01	2.858e+00	4.333e-01	0.000e+00	6.885e+01
1.010e+04	5.926e+00	3.309e+00	1.618e+01	7.069e-01	4.330e-01	5.514e+00	4.333e-01	0.000e+00	6.885e+01
1.020e+04	5.926e+00	3.309e+00	1.618e+01	8.245e-01	4.330e-01	5.514e+00	4.333e-01	0.000e+00	6.885e+01
1.030e+04	5.926e+00	3.309e+00	1.618e+01	7.069e-01	4.208e-01	2.102e+00	4.333e-01	0.000e+00	6.885e+01
1.040e+04	5.926e+00	3.309e+00	1.618e+01	7.069e-01	4.208e-01	2.102e+00	4.333e-01	0.000e+00	6.885e+01
1.050e+04	5.926e+00	3.309e+00	1.666e+01	7.069e-01	4.208e-01	2.102e+00	1.693e-04	0.000e+00	6.885e+01
1.060e+04	5.926e+00	3.309e+00	1.666e+01	5.747e-01	2.710e-02	2.102e+00	1.693e-04	0.000e+00	6.885e+01
1.070e+04	5.926e+00	3.309e+00	1.666e+01	7.069e-01	2.710e-02	2.102e+00	1.693e-04	0.000e+00	6.885e+01
1.080e+04	5.926e+00	3.309e+00	1.666e+01	7.069e-01	4.208e-01	1.926e+00	4.333e-01	0.000e+00	6.932e+01
1.090e+04	5.926e+00	3.309e+00	1.666e+01	7.069e-01	4.195e-01	2.102e+00	4.333e-01	0.000e+00	6.932e+01
1.100e+04	5.926e+00	3.309e+00	1.666e+01	8.416e-01	4.195e-01	2.102e+00	4.333e-01	0.000e+00	6.932e+01
1.110e+04	5.926e+00	3.309e+00	1.666e+01	8.416e-01	4.195e-01	2.102e+00	4.333e-01	0.000e+00	6.932e+01
1.120e+04	5.926e+00	3.309e+00	1.666e+01	9.082e-01	4.208e-01	2.102e+00	4.333e-01	0.000e+00	6.932e+01
1.130e+04	5.926e+00	2.137e+00	1.666e+01	8.416e-01	4.330e-01	1.926e+00	4.330e-01	0.000e+00	6.885e+01
1.140e+04	5.926e+00	2.137e+00	1.666e+01	8.416e-01	4.374e-01	1.926e+00	4.330e-01	0.000e+00	6.885e+01
1.150e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.979e-01	2.136e+00	4.330e-01	0.000e+00	6.885e+01
1.160e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.979e-01	2.064e+00	4.330e-01	0.000e+00	6.885e+01
1.170e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.341e-01	2.064e+00	4.330e-01	0.000e+00	6.885e+01
1.180e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.341e-01	2.064e+00	4.330e-01	0.000e+00	6.885e+01
1.190e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.341e-01	1.926e+00	4.330e-01	0.000e+00	6.885e+01
1.200e+04	8.460e+00	2.137e+00	1.666e+01	8.416e-01	4.289e-01	1.919e+00	4.330e-01	0.000e+00	6.885e+01
1.210e+04	8.460e+00	2.137e+00	1.666e+01	8.416e-01	4.195e-01	1.919e+00	4.330e-01	0.000e+00	6.885e+01
1.220e+04	8.460e+00	2.137e+00	1.666e+01	9.082e-01	4.289e-01	2.136e+00	4.330e-01	0.000e+00	6.885e+01
1.230e+04	8.460e+00	2.137e+00	1.666e+01	8.416e-01	4.289e-01	1.919e+00	4.330e-01	0.000e+00	6.885e+01
1.240e+04	8.460e+00	2.137e+00	1.666e+01	8.416e-01	4.195e-01	1.919e+00	4.330e-01	0.000e+00	6.885e+01
1.250e+04	9.841e+00	2.137e+00	1.745e+01	7.168e-01	1.396e-02	1.575e+00	4.330e-01	0.000e+00	8.090e+01
1.260e+04	9.841e+00	2.137e+00	1.745e+01	8.276e-01	1.396e-02	1.575e+00	4.330e-01	0.000e+00	8.090e+01
1.270e+04	1.096e+01	2.137e+00	1.745e+01	7.069e-01	8.628e-03	1.097e+00	4.330e-01	0.000e+00	8.090e+01
1.280e+04	1.096e+01	2.137e+00	1.745e+01	7.069e-01	8.628e-03	1.097e+00	4.330e-01	0.000e+00	8.090e+01
1.290e+04	1.096e+01	2.137e+00	1.745e+01	7.069e-01	1.396e-02	1.097e+00	4.330e-01	0.000e+00	8.090e+01
1.300e+04	1.096e+01	2.137e+00	1.745e+01	7.168e-01	2.493e-02	1.285e+00	4.330e-01	0.000e+00	8.090e+01
1.310e+04	1.096e+01	2.137e+00	1.745e+01	7.168e-01	2.493e-02	1.285e+00	4.330e-01	0.000e+00	8.090e+01
1.320e+04	1.096e+01	2.137e+00	1.745e+01	7.168e-01	2.493e-02	1.285e+00	4.330e-01	0.000e+00	8.090e+01
1.330e+04	1.096e+01	2.137e+00	1.745e+01	8.276e-01	4.165e-01	1.285e+00	4.330e-01	0.000e+00	8.090e+01
1.340e+04	1.096e+01	2.137e+00	2.304e+01	7.168e-01	4.165e-01	1.097e+00	4.333e-01	0.000e+00	8.090e+01
1.350e+04	1.096e+01	2.137e+00	2.304e+01	7.069e-01	4.165e-01	1.097e+00	4.333e-01	0.000e+00	8.090e+01
1.360e+04	1.096e+01	2.137e+00	2.304e+01	7.069e-01	4.165e-01	1.097e+00	4.333e-01	0.000e+00	1.115e+02
1.370e+04	1.096e+01	2.137e+00	2.304e+01	7.168e-01	4.195e-01	1.285e+00	4.333e-01	0.000e+00	1.115e+02
1.380e+04	1.096e+01	2.137e+00	2.304e+01	7.168e-01	4.195e-01	1.285e+00	4.333e-01	0.000e+00	1.115e+02
1.390e+04	1.096e+01	2.137e+00	2.304e+01	7.069e-01	4.195e-01	1.127e+00	4.333e-01	0.000e+00	1.115e+02
1.400e+04	1.096e+01	2.137e+00	2.304e+01	7.045e-01	4.195e-01	1.097e+00	4.333e-01	0.000e+00	1.115e+02
1.410e+04	1.096e+01	2.137e+00	2.304e+01	7.045e-01	4.195e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.420e+04	1.096e+01	2.137e+00	2.304e+01	7.045e-01	4.195e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.430e+04	1.096e+01	2.137e+00	2.304e+01	7.045e-01	4.335e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.440e+04	1.096e+01	2.657e+00	2.304e+01	7.045e-01	4.335e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.450e+04	1.096e+01	2.657e+00	2.304e+01	5.191e-01	4.335e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.460e+04	1.096e+01	2.657e+00	2.304e+01	5.191e-01	4.335e-01	1.097e+00	4.333e-01	0.000e+00	1.165e+02
1.470e+04	1.096e+01	2.657e+00	2.304e+01	5.191e-01	4.335e-01	1.097e+00	4.333e-01	0.000e+00	1.115e+02
1.480e+04	1.096e+01	2.657e+00	2.304e+01	5.191e-01	4.195e-01	1.097e+00	4.333e-01	0.000e+00	1.115e+02
1.490e+04	1.096e+01	2.657e+00	2.304e+01	5.127e-01	8.335e-03	1.064e+00	4.333e-01	0.000e+00	1.115e+02
1.500e+04	1.096e+01	2.657e+00	2.304e+01	5.127e-01	8.335e-03	1.064e+00	4.333e-01	0.000e+00	1.115e+02
1.510e+04	1.096e+01	2.657e+00	2.304e+01	5.127e-01	8.335e-03	1.064e+00	4.333e-01	0.000e+00	1.115e+02
1.520e+04	1.096e+01	2.657e+00	2.304e+01	5.127e-01	8.335e-03	1.064e+00	4.333e-01	0.000e+00	1.115e+02
1.530e+04	1.096e+01	2.657e+00	2.304e+01	4.981e-01	8.335e-03	1.013e+00	4.333e-01	0.000e+00	1.115e+02
1.540e+04	1.096e+01	2.657e+00	2.304e+01	4.981e-01	8.335e-03	1.013e+00	4.333e-01	0.000e+00	1.115e+02
1.550e+04	1.096e+01	2.657e+00	2.304e+01	4.981e-01	8.335e-03	1.013e+00	4.333e-01	0.000e+00	1.115e+02
1.560e+04	9.841e+00	2.657e+00	2.304e+01	4.946e-01	8.335e-03	9.903e-01	4.333e-01	0.000e+00	1.115e+02
1.570e+04	9.841e+00	2.657e+00	2.304e+01	4.946e-01	8.335e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.580e+04	9.841e+00	2.657e+00	2.304e+01	4.950e-01	8.335e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.590e+04	1.143e+01	4.223e+00	3.046e+01	4.950e-01	8.335e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.600e+04	1.143e+01	4.223e+00	4.078e+01	4.950e-01	8.335e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.610e+04	1.143e+01	4.223e+00	4.078e+01	4.950e-01	8.335e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.620e+04	1.143e+01	4.223e+00	4.078e+01	4.946e-01	5.150e-03	8.416e-01	1.863e-04	0.000e+00	1.115e+02
1.630e+04	1.143e+01	4.223e+00	4.078e+01	4.950e-01	5.150e-03	9.903e-01	1.863e-04	0.000e+00	1.115e+02
1.640e+04	1.143e+01	4.223e+00	4.078e+01	4.946e-01	5.150e-03	9.903e-01	4.333e-01	0.000e+00	1.115e+02
1.650e+04	1.143e+01	4.223e+00	4.078e+01	4.946e-01	5.150e-03	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.660e+04	1.143e+01	4.223e+00	4.078e+01	4.950e-01	8.630e-03	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.670e+04	1.143e+01	4.223e+00	4.078e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.680e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.690e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.700e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.710e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.720e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	8.484e-01	4.333e-01	0.000e+00	1.115e+02
1.730e+04	1.143e+01	4.223e+00	4.017e+01	4.950e-01	1.345e-02	9.903e-01	4.333e-01	0.000e+00	1.115e+02
1.740e+04	1.143e+01	4.223e+00	4.017e+01	4.946e-01	1.345e-02	9.903e-01	4.333e-01	0.000e+00	1.115e+02
1.750e+04	1.143e+01	4.223e+00	4.017e+01	4.946e-01	1.345e-02	1.027e+00	4.333e-01	0.000e+00	1.115e+02
1.760e+04	1.143e+01	4.223e+00	4.017e+01	4.946e-01	1.345e-02	1.027e+00	4.333e-01	0.000e+00	1.115e+02
1.770e+04	1.096e+01	4.223e+00	4.017e+01	4.434e-01	1.345e-02	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.780e+04	1.096e+01	4.223e+00	4.017e+01	4.434e-01	1.345e-02	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.790e+04	1.143e+01	4.223e+00	4.078e+01	4.419e-01	9.930e-03	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.800e+04	1.143e+01	4.223e+00	4.382e+01	4.419e-01	9.930e-03	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.810e+04	1.143e+01	4.223e+00	4.382e+01	4.419e-01	9.930e-03	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.820e+04	1.143e+01	4.223e+00	4.616e+01	4.419e-01	9.930e-03	9.903e-01	4.333e-01	0.000e+00	1.191e+02
1.830e+04	1.143e+01	4.223e+00	4.616e+01	4.419e-01	9.930e-03	9.903e-01	4.333e-01	0.000e+00	7.082e+01
