n.evals.q.1.0.	train.8.8.8.mlp.best.quality.increase	train.8.8.8.mlp.best.quality.increase.min	train.8.8.8.mlp.best.quality.increase.max	train.8.8.8.hebbian.synapse.random.best.quality.increase	train.8.8.8.hebbian.synapse.random.best.quality.increase.min	train.8.8.8.hebbian.synapse.random.best.quality.increase.max	train.8.8.8.hebbian.network.random.best.quality.increase	train.8.8.8.hebbian.network.random.best.quality.increase.min	train.8.8.8.hebbian.network.random.best.quality.increase.max	train.8.8.8.freeForm.random.best.quality.increase	train.8.8.8.freeForm.random.best.quality.increase.min	train.8.8.8.freeForm.random.best.quality.increase.max
2.070e+04	-3.302e+00	-1.900e+01	4.998e+00	-3.540e+00	-9.216e+01	5.119e-01	9.444e+00	2.896e+00	1.212e+01	5.079e-01	-1.406e+00	1.323e+01
2.090e+04	-5.040e+00	-9.340e+01	3.077e+01	4.910e-01	-1.033e+02	5.498e+00	9.318e-01	-8.918e-02	3.020e+01	7.502e-01	-1.930e+00	1.793e+01
2.110e+04	-4.175e+01	-1.057e+02	1.025e+01	-9.996e-01	-1.193e+02	8.174e+01	5.960e-01	-8.280e+00	1.070e+00	7.723e-01	-6.255e+00	1.543e+00
2.130e+04	7.507e-01	-2.326e+01	5.408e+01	5.964e+01	-5.775e+00	1.189e+02	-2.787e-01	-1.550e+01	8.459e+00	-6.119e-02	-1.016e+00	2.001e+00
2.150e+04	2.075e+01	-5.275e+01	4.528e+01	-4.837e+01	-1.203e+02	-1.340e+00	3.948e+00	-1.566e-01	7.954e+00	-1.288e+00	-1.224e+01	1.293e+01
2.170e+04	1.850e+01	-1.571e+01	7.887e+01	-4.436e-04	-9.036e+01	3.597e+01	3.570e+00	-8.749e+00	1.612e+01	-1.147e-02	-1.016e+01	1.155e+01
2.190e+04	-3.486e+00	-8.475e+01	4.750e+00	1.252e+00	-1.244e+01	9.102e+01	1.772e+00	-1.745e+01	2.333e+01	-1.115e-04	-3.477e-01	2.251e+00
2.210e+04	4.750e+01	-4.248e+00	1.021e+02	4.417e+00	-8.791e+00	5.668e+01	5.714e-01	9.807e-02	9.131e-01	-6.881e-04	-2.010e+00	2.009e+00
2.230e+04	-4.744e+00	-9.050e+01	2.496e+00	1.504e+00	-1.334e+01	1.062e+02	2.996e+00	-1.445e-01	1.387e+01	-3.494e+00	-1.240e+01	-1.508e+00
2.250e+04	-1.168e+00	-4.501e+00	2.425e+01	2.623e-01	-2.108e+01	7.674e+01	7.502e+00	2.529e-03	1.007e+01	1.571e+00	-3.036e-02	3.412e+01
2.270e+04	1.354e+00	-8.750e+00	1.050e+01	1.498e+00	-5.205e+01	7.425e+01	-2.592e-01	-1.484e+00	4.064e-01	7.812e-04	-1.311e+00	3.362e+00
2.290e+04	2.422e+01	-8.221e-01	6.775e+01	1.300e+01	-3.551e+01	1.075e+02	2.691e+01	5.347e-01	3.368e+01	1.479e-01	-1.261e+00	8.202e+00
2.310e+04	3.009e+00	-5.033e-01	4.422e+01	1.105e+02	-3.293e-03	1.272e+02	1.631e+00	-4.599e-02	2.941e+01	7.514e-01	-9.188e-01	1.999e+00
2.330e+04	2.210e+01	-9.491e-01	1.045e+02	6.235e+00	-7.625e+01	1.048e+02	1.552e+00	-1.204e-02	1.242e+01	1.731e+01	4.248e+00	2.353e+01
2.350e+04	2.548e+01	-1.725e+01	1.055e+02	5.400e+01	-1.073e+02	8.073e+01	2.572e+00	-9.592e+00	2.191e+01	-1.285e+00	-2.574e+00	-3.299e-03
2.370e+04	1.116e+01	-2.103e+01	1.691e+01	-2.532e-01	-1.065e+02	4.326e+01	9.054e+00	4.442e-01	1.509e+01	4.683e+00	-9.557e-01	7.568e+01
2.390e+04	-8.532e+00	-4.724e+01	-7.655e-01	6.248e+00	-6.318e+00	1.233e+02	-1.394e+01	-5.239e+01	1.168e+00	4.381e+01	-9.130e-01	7.621e+01
2.410e+04	-6.992e+00	-8.802e+01	-4.494e+00	1.478e+01	-1.351e+01	2.850e+01	1.097e+00	-6.803e-01	1.850e+01	2.032e+00	-1.561e+00	2.783e+00
2.430e+04	7.000e+00	-3.558e+00	1.622e+01	-6.095e+00	-1.205e+02	7.212e-01	2.829e+00	-5.196e+00	1.120e+01	2.727e-03	-9.242e-01	1.351e+00
2.450e+04	-4.382e+00	-3.681e+01	6.377e+01	-1.030e+00	-2.260e+01	7.007e+00	-2.244e-01	-3.121e+00	2.495e+01	7.091e-02	-1.503e+00	3.852e+00
2.470e+04	-7.489e-01	-1.425e+01	2.629e+01	-7.578e-02	-1.230e+02	7.882e+01	9.168e-01	-5.321e+00	2.072e+01	-2.459e-01	-1.464e+00	8.010e+00
2.490e+04	6.240e-01	-8.499e+00	7.176e+01	1.227e+01	-1.755e+00	9.376e+01	3.643e-01	-1.730e+01	1.146e+01	7.266e-03	-5.509e+00	2.779e+01
2.510e+04	5.013e-01	-3.825e+01	5.747e+00	2.718e+00	-3.576e+01	5.773e+01	2.117e+00	-5.439e+00	1.322e+01	3.732e-03	-9.308e-01	2.111e+00
2.530e+04	2.500e+00	-1.472e+01	5.424e+01	6.254e+00	-9.001e+01	1.330e+02	5.158e+00	1.310e+00	1.598e+01	9.341e-04	-1.697e+01	3.944e+01
2.550e+04	3.487e+01	3.724e+00	7.555e+01	5.875e+01	-1.512e+00	8.326e+01	2.759e+00	-1.348e+01	3.724e+01	6.054e-01	-9.794e+00	2.248e+00
2.570e+04	1.877e+01	-9.350e+01	8.308e+01	9.940e+00	-1.122e+02	5.961e+01	3.270e+00	-3.727e-01	1.462e+01	1.821e-01	-2.981e+00	2.673e+00
2.590e+04	3.708e+01	-1.075e+01	5.184e+01	-3.351e+01	-7.376e+01	1.225e+01	1.374e+01	1.000e-01	3.173e+01	2.003e+00	-6.056e+00	6.907e+01
2.610e+04	2.760e+00	-7.355e+01	1.225e+01	3.712e+00	-2.692e+01	1.185e+02	3.549e-01	-1.261e+01	2.025e+01	-4.836e-01	-3.997e+00	4.474e-02
2.630e+04	5.154e-01	-3.071e+01	2.857e+00	3.441e+01	-1.033e+02	1.018e+02	6.887e+00	-4.875e-01	3.695e+01	-5.689e-01	-1.708e+01	3.325e+00
