n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
2.250e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	2.835e-01	1.000e+00
2.270e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.782e-01	2.500e-01	9.997e-01
2.290e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
2.310e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.962e-01	3.000e-01	1.000e+00
2.330e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	9.990e-01
2.350e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.726e-01	2.835e-01	1.000e+00
2.370e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	9.990e-01
2.390e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	2.835e-01	9.989e-01
2.410e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.000e-01	1.000e+00
2.430e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
2.450e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	2.835e-01	1.000e+00
2.470e+04	4.000e-01	3.470e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	2.835e-01	9.885e-01
2.490e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.852e-01	2.500e-01	1.000e+00
2.510e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	5.000e-01	3.000e-01	1.000e+00
