n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.270e+04	5.000e-01	2.507e-01	5.000e-01	9.994e-01	9.508e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.290e+04	5.000e-01	2.507e-01	5.000e-01	9.983e-01	9.701e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.310e+04	5.000e-01	2.507e-01	5.000e-01	9.999e-01	9.973e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.330e+04	5.000e-01	2.507e-01	5.000e-01	9.999e-01	9.986e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.350e+04	5.000e-01	2.507e-01	5.000e-01	9.997e-01	9.867e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.370e+04	5.000e-01	2.507e-01	5.000e-01	1.000e+00	9.835e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.390e+04	5.000e-01	2.509e-01	5.000e-01	9.999e-01	9.544e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.410e+04	5.000e-01	2.510e-01	5.000e-01	1.000e+00	9.965e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.430e+04	5.000e-01	2.510e-01	5.000e-01	9.998e-01	9.898e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.450e+04	5.000e-01	2.510e-01	5.000e-01	1.000e+00	9.976e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.470e+04	5.000e-01	2.510e-01	5.000e-01	1.000e+00	9.940e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.490e+04	5.000e-01	2.510e-01	5.000e-01	9.999e-01	9.953e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.510e+04	5.000e-01	2.510e-01	5.000e-01	9.999e-01	9.969e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.530e+04	5.000e-01	2.510e-01	5.000e-01	1.000e+00	9.931e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.550e+04	5.000e-01	2.509e-01	5.000e-01	9.999e-01	9.953e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.570e+04	5.000e-01	2.512e-01	5.000e-01	9.999e-01	9.958e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.590e+04	5.000e-01	2.518e-01	5.000e-01	1.000e+00	9.947e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.610e+04	5.000e-01	2.518e-01	5.000e-01	1.000e+00	9.990e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.630e+04	5.000e-01	2.512e-01	5.000e-01	9.998e-01	9.922e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.650e+04	5.000e-01	2.512e-01	5.000e-01	9.998e-01	9.871e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.670e+04	5.000e-01	2.507e-01	5.000e-01	1.000e+00	9.985e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.690e+04	5.000e-01	2.512e-01	5.000e-01	1.000e+00	9.998e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.710e+04	5.000e-01	2.512e-01	5.000e-01	9.999e-01	9.774e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.730e+04	5.000e-01	2.507e-01	5.000e-01	1.000e+00	9.847e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.750e+04	5.000e-01	2.507e-01	5.000e-01	1.000e+00	9.953e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.770e+04	5.000e-01	2.505e-01	5.000e-01	9.999e-01	9.805e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.790e+04	5.000e-01	2.505e-01	5.000e-01	9.999e-01	9.904e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
1.810e+04	5.000e-01	2.505e-01	5.000e-01	9.999e-01	9.954e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
