n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.950e+04	1.163e-10	0.000e+00	9.293e-03	5.814e-05	6.749e-09	6.304e-03	2.165e-01	2.651e-08	4.048e-01
1.970e+04	1.681e-11	0.000e+00	9.293e-03	4.328e-05	5.284e-07	9.382e-04	1.654e-01	1.137e-08	4.048e-01
1.990e+04	1.391e-11	0.000e+00	9.293e-03	1.294e-05	1.107e-06	3.088e-04	1.654e-01	3.838e-08	3.819e-01
2.010e+04	2.784e-11	0.000e+00	9.293e-03	2.087e-05	7.509e-08	5.117e-03	1.785e-01	4.904e-08	3.819e-01
2.030e+04	3.103e-11	0.000e+00	9.293e-03	1.824e-06	8.724e-08	2.112e-04	2.165e-01	5.152e-08	3.819e-01
2.050e+04	1.758e-11	0.000e+00	9.293e-03	1.436e-05	1.453e-07	6.450e-04	2.064e-01	3.743e-09	3.819e-01
2.070e+04	3.577e-09	0.000e+00	1.080e-02	1.289e-06	9.352e-09	9.541e-04	1.654e-01	1.101e-08	3.819e-01
2.090e+04	5.232e-11	0.000e+00	1.080e-02	4.793e-05	2.552e-06	2.341e-03	1.886e-01	9.134e-11	4.048e-01
2.110e+04	7.800e-11	0.000e+00	1.080e-02	6.335e-06	3.980e-07	2.212e-04	1.654e-01	2.216e-08	4.048e-01
2.130e+04	3.077e-11	0.000e+00	1.080e-02	6.782e-05	5.453e-07	1.721e-03	1.654e-01	2.683e-08	4.048e-01
2.150e+04	3.445e-11	7.871e-15	1.080e-02	9.478e-06	7.542e-07	3.738e-04	1.594e-01	3.708e-10	4.048e-01
2.170e+04	2.634e-11	0.000e+00	1.210e-02	1.531e-05	1.931e-07	7.829e-04	1.594e-01	9.134e-11	3.819e-01
2.190e+04	5.958e-11	0.000e+00	1.210e-02	5.960e-06	8.294e-08	2.659e-05	1.594e-01	6.093e-09	3.101e-01
2.210e+04	3.425e-11	0.000e+00	1.210e-02	1.218e-05	4.300e-08	9.735e-05	1.594e-01	4.396e-10	4.048e-01
2.230e+04	5.892e-11	0.000e+00	1.210e-02	9.258e-05	8.102e-08	1.177e-03	1.594e-01	5.185e-08	3.819e-01
2.250e+04	1.406e-10	2.449e-13	1.210e-02	1.562e-05	8.542e-08	6.657e-04	1.594e-01	2.947e-07	3.819e-01
2.270e+04	9.529e-12	0.000e+00	1.210e-02	3.975e-05	3.725e-07	1.449e-03	1.594e-01	2.683e-08	3.819e-01
2.290e+04	2.515e-10	0.000e+00	1.210e-02	4.604e-06	6.781e-08	2.852e-04	1.594e-01	7.024e-13	3.819e-01
2.310e+04	6.703e-11	0.000e+00	1.279e-02	1.061e-05	3.521e-07	2.939e-04	1.594e-01	7.565e-09	3.819e-01
2.330e+04	1.053e-10	0.000e+00	1.279e-02	1.939e-05	4.279e-07	2.585e-04	1.594e-01	6.533e-09	3.819e-01
2.350e+04	2.286e-10	0.000e+00	1.279e-02	9.653e-06	4.990e-08	8.028e-04	1.594e-01	1.384e-08	4.048e-01
2.370e+04	1.444e-11	0.000e+00	1.279e-02	1.337e-05	1.211e-07	3.378e-04	1.594e-01	1.104e-09	3.819e-01
2.390e+04	1.207e-10	7.044e-12	1.279e-02	8.034e-06	3.612e-09	1.757e-04	1.594e-01	5.123e-08	3.819e-01
2.410e+04	3.822e-11	0.000e+00	1.191e-02	8.310e-06	1.540e-07	7.481e-04	1.594e-01	1.052e-10	4.048e-01
2.430e+04	2.977e-11	0.000e+00	1.191e-02	1.232e-05	2.352e-09	8.923e-05	1.594e-01	4.355e-09	3.819e-01
2.450e+04	4.458e-12	0.000e+00	1.191e-02	1.209e-06	3.221e-09	2.729e-04	1.594e-01	7.430e-09	3.819e-01
2.470e+04	9.823e-10	0.000e+00	1.191e-02	1.709e-05	5.072e-08	4.972e-04	1.594e-01	8.532e-10	3.819e-01
2.490e+04	9.520e-12	0.000e+00	1.191e-02	6.292e-06	2.197e-08	2.192e-04	1.594e-01	1.175e-08	3.819e-01
2.510e+04	1.984e-11	0.000e+00	1.191e-02	6.375e-06	7.279e-08	1.002e-04	1.594e-01	8.611e-10	3.819e-01
