n.evals.q.1.0.	xor._.hebbian.network.best.quality.avgLastBoolScore	xor._.hebbian.network.best.quality.avgLastBoolScore.min	xor._.hebbian.network.best.quality.avgLastBoolScore.max	xor._.hebbian.synapse.best.quality.avgLastBoolScore	xor._.hebbian.synapse.best.quality.avgLastBoolScore.min	xor._.hebbian.synapse.best.quality.avgLastBoolScore.max	xor._.freeForm.best.quality.avgLastBoolScore	xor._.freeForm.best.quality.avgLastBoolScore.min	xor._.freeForm.best.quality.avgLastBoolScore.max
1.370e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.390e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.410e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.430e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.450e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.470e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.490e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.510e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.530e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.550e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.570e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.590e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.610e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.630e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.650e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.670e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.690e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.710e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.730e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.750e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	7.500e-01	6.500e-01	1.000e+00
1.770e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.790e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.810e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.830e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
1.850e+04	4.500e-01	4.500e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00	8.000e-01	6.500e-01	1.000e+00
