n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
2.150e+04	3.140e-01	2.764e-01	3.644e-01	9.453e-01	9.208e-01	9.912e-01	4.468e-01	1.695e-01	6.265e-01
2.170e+04	3.047e-01	2.539e-01	3.123e-01	9.539e-01	9.259e-01	9.803e-01	4.721e-01	2.250e-01	6.265e-01
2.190e+04	3.099e-01	2.696e-01	3.313e-01	9.521e-01	9.321e-01	9.901e-01	3.761e-01	1.912e-01	6.015e-01
2.210e+04	3.043e-01	2.441e-01	3.633e-01	9.498e-01	8.933e-01	1.005e+00	5.069e-01	1.548e-01	6.301e-01
2.230e+04	3.094e-01	2.621e-01	3.227e-01	9.587e-01	9.202e-01	1.019e+00	5.750e-01	2.049e-01	6.301e-01
2.250e+04	3.094e-01	2.346e-01	3.431e-01	9.661e-01	9.132e-01	1.007e+00	5.750e-01	2.049e-01	8.749e-01
2.270e+04	3.043e-01	2.740e-01	3.184e-01	9.549e-01	9.073e-01	1.042e+00	4.417e-01	1.305e-01	6.301e-01
2.290e+04	3.091e-01	2.677e-01	3.212e-01	9.921e-01	9.578e-01	1.026e+00	5.750e-01	2.250e-01	7.741e-01
2.310e+04	3.027e-01	2.309e-01	3.195e-01	9.750e-01	9.006e-01	1.011e+00	4.400e-01	2.049e-01	6.625e-01
2.330e+04	3.027e-01	2.316e-01	3.373e-01	9.507e-01	8.657e-01	1.026e+00	5.130e-01	1.965e-01	6.251e-01
2.350e+04	3.065e-01	2.538e-01	3.151e-01	9.690e-01	9.235e-01	1.003e+00	5.750e-01	2.049e-01	7.171e-01
2.370e+04	3.061e-01	2.598e-01	3.262e-01	9.678e-01	9.007e-01	9.926e-01	5.765e-01	2.345e-01	6.693e-01
2.390e+04	3.105e-01	2.738e-01	3.424e-01	9.620e-01	9.073e-01	1.009e+00	5.207e-01	2.250e-01	6.265e-01
2.410e+04	3.043e-01	2.481e-01	3.117e-01	9.724e-01	9.462e-01	1.013e+00	6.042e-01	2.785e-01	7.549e-01
2.430e+04	3.046e-01	2.590e-01	3.168e-01	9.544e-01	8.906e-01	9.950e-01	6.015e-01	3.596e-01	6.267e-01
2.450e+04	2.871e-01	2.351e-01	3.151e-01	9.723e-01	8.954e-01	9.992e-01	6.251e-01	2.785e-01	7.171e-01
2.470e+04	3.117e-01	2.958e-01	3.305e-01	9.780e-01	8.903e-01	1.005e+00	6.168e-01	3.620e-01	7.036e-01
2.490e+04	2.859e-01	2.415e-01	3.099e-01	9.552e-01	8.985e-01	1.013e+00	6.250e-01	2.250e-01	8.749e-01
2.510e+04	3.094e-01	2.859e-01	3.306e-01	9.653e-01	9.149e-01	9.946e-01	5.750e-01	1.727e-01	7.036e-01
