n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
7.700e+03	4.732e+00	1.140e+00	2.102e+01	4.721e+02	3.763e+02	4.926e+02	5.326e+00	0.000e+00	9.550e+01
7.800e+03	1.076e+01	1.140e+00	2.102e+01	4.721e+02	3.763e+02	4.929e+02	5.326e+00	0.000e+00	8.058e+01
7.900e+03	1.076e+01	1.140e+00	2.102e+01	4.731e+02	3.733e+02	4.936e+02	4.069e+00	0.000e+00	8.058e+01
8.000e+03	1.076e+01	1.140e+00	2.102e+01	4.751e+02	3.733e+02	4.936e+02	3.027e+01	5.137e-08	8.461e+01
8.100e+03	1.076e+01	1.140e+00	2.102e+01	4.751e+02	3.733e+02	4.936e+02	5.326e+00	5.137e-08	8.461e+01
8.200e+03	1.076e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	5.326e+00	0.000e+00	8.461e+01
8.300e+03	1.076e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	5.326e+00	0.000e+00	8.461e+01
8.400e+03	1.076e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	5.326e+00	0.000e+00	8.461e+01
8.500e+03	1.076e+01	1.140e+00	2.102e+01	4.715e+02	3.733e+02	4.936e+02	5.326e+00	5.137e-08	8.461e+01
8.600e+03	1.108e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	1.569e+01	0.000e+00	8.461e+01
8.700e+03	1.108e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	1.569e+01	5.137e-08	8.461e+01
8.800e+03	1.108e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	1.569e+01	0.000e+00	8.461e+01
8.900e+03	1.108e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	1.569e+01	0.000e+00	8.461e+01
9.000e+03	1.108e+01	1.140e+00	2.102e+01	4.721e+02	3.733e+02	4.936e+02	1.569e+01	0.000e+00	8.461e+01
